,Task,Function
39,enlarge a photo so that it's twice as big. ,"def resize_image(image):
    width, height = image.size

    result = Image.new(image.mode, (width * 2, height * 2))

    for x in range(width):
        for y in range(height):
            pixel = image.getpixel((x, y))

            result.putpixel((x * 2, y * 2), pixel)
            result.putpixel((x * 2 + 1, y * 2), pixel)
            result.putpixel((x * 2, y * 2 + 1), pixel)
            result.putpixel((x * 2 + 1, y * 2 + 1), pixel)

    return result
"
40,enlarge a photo so that it's twice as big. ,"def resize_image(image):
   
    return image.resize((image.size[0] * 2, image.size[1] * 2))
"
41,enlarge a photo so that it's twice as big. ,"def resize_image(img):
        (h,w) = img.shape[:2]

        output = np.zeros((2*h,2*w), dtype = ""uint8"")

        for i in range(0,h):
                for j in range(0,w):
                        pixel = img[i,j]
                        output[2*i,2*j] = pixel
                        output[2*i+1,2*j] = pixel
                        output[2*i,2*j+1] = pixel
                        output[2*i+1,2*j+1] = pixel

        return output"
42,the photo will need to be resized to be twice as big. ,"def resize_image(img):
    return cv2.resize(img, (2*img.shape[1], 2*img.shape[0]), interpolation=cv2.INTER_CUBIC)"
43,the photo will need to be resized to be twice as big.  ,"def resize_image(image):
    
    
    width, height = image.size
    new_width = width * 2
    new_height = height * 2
    new_image = Image.new('RGB', (new_width, new_height))
    for x in range(new_width):
        for y in range(new_height):
            new_image.putpixel((x, y), image.getpixel((x // 2, y // 2)))
    return new_image"
44,the photo will need to be resized to be twice as big.  ,"def resize_image(image):
    width, height = image.size

    result = Image.new(image.mode, (width * 2, height * 2))

    for x in range(width):
        for y in range(height):
            pixel = image.getpixel((x, y))

            result.putpixel((x * 2, y * 2), pixel)
            result.putpixel((x * 2 + 1, y * 2), pixel)
            result.putpixel((x * 2, y * 2 + 1), pixel)
            result.putpixel((x * 2 + 1, y * 2 + 1), pixel)

    return result
 "
45,the photo will need to be resized to be twice as big.  ,"def resize_image(image):
    
    
    return image.resize((image.size[0] * 2, image.size[1] * 2))
 "
46, the photo will need to be resized to be twice as big. ,"def resize_image(img):
        (h,w) = img.shape[:2]

        output = np.zeros((2*h,2*w), dtype = ""uint8"")

        for i in range(0,h):
                for j in range(0,w):
                        pixel = img[i,j]
                        output[2*i,2*j] = pixel
                        output[2*i+1,2*j] = pixel
                        output[2*i,2*j+1] = pixel
                        output[2*i+1,2*j+1] = pixel

        return output "
47,2x the initial image shape,"def resize_image(img):
    return cv2.resize(img, (2*img.shape[1], 2*img.shape[0]), interpolation=cv2.INTER_CUBIC)"
48,2x the initial image shape,"def resize_image(image):
    
    
    width, height = image.size
    new_width = width * 2
    new_height = height * 2
    new_image = Image.new('RGB', (new_width, new_height))
    for x in range(new_width):
        for y in range(new_height):
            new_image.putpixel((x, y), image.getpixel((x // 2, y // 2)))
    return new_image"
49,2x the initial image shape,"def resize_image(image):
    width, height = image.size

    result = Image.new(image.mode, (width * 2, height * 2))

    for x in range(width):
        for y in range(height):
            pixel = image.getpixel((x, y))

            result.putpixel((x * 2, y * 2), pixel)
            result.putpixel((x * 2 + 1, y * 2), pixel)
            result.putpixel((x * 2, y * 2 + 1), pixel)
            result.putpixel((x * 2 + 1, y * 2 + 1), pixel)

    return result
 "
50,2x the initial image shape,"def resize_image(image):
    
    
    return image.resize((image.size[0] * 2, image.size[1] * 2))
 "
51,2x the initial image shape,"def resize_image(img):
        (h,w) = img.shape[:2]

        output = np.zeros((2*h,2*w), dtype = ""uint8"")

        for i in range(0,h):
                for j in range(0,w):
                        pixel = img[i,j]
                        output[2*i,2*j] = pixel
                        output[2*i+1,2*j] = pixel
                        output[2*i,2*j+1] = pixel
                        output[2*i+1,2*j+1] = pixel

        return output "
52,the picture will need to be resized to be twice as large. ,"def resize_image(img):
    return cv2.resize(img, (2*img.shape[1], 2*img.shape[0]), interpolation=cv2.INTER_CUBIC)"
53,the picture will need to be resized to be twice as large. ,"def resize_image(image):
    
    
    width, height = image.size
    new_width = width * 2
    new_height = height * 2
    new_image = Image.new('RGB', (new_width, new_height))
    for x in range(new_width):
        for y in range(new_height):
            new_image.putpixel((x, y), image.getpixel((x // 2, y // 2)))
    return new_image"
54,the picture will need to be resized to be twice as large. ,"def resize_image(image):
    width, height = image.size

    result = Image.new(image.mode, (width * 2, height * 2))

    for x in range(width):
        for y in range(height):
            pixel = image.getpixel((x, y))

            result.putpixel((x * 2, y * 2), pixel)
            result.putpixel((x * 2 + 1, y * 2), pixel)
            result.putpixel((x * 2, y * 2 + 1), pixel)
            result.putpixel((x * 2 + 1, y * 2 + 1), pixel)

    return result
  "
55,the picture will need to be resized to be twice as large. ,"def resize_image(image):
    
    
    return image.resize((image.size[0] * 2, image.size[1] * 2))"
56,the picture will need to be resized to be twice as large. ,"def resize_image(img):
        (h,w) = img.shape[:2]

        output = np.zeros((2*h,2*w), dtype = ""uint8"")

        for i in range(0,h):
                for j in range(0,w):
                        pixel = img[i,j]
                        output[2*i,2*j] = pixel
                        output[2*i+1,2*j] = pixel
                        output[2*i,2*j+1] = pixel
                        output[2*i+1,2*j+1] = pixel

        return output "
57,Double the size of a photograph ,"def resize_image(img):
    return cv2.resize(img, (2*img.shape[1], 2*img.shape[0]), interpolation=cv2.INTER_CUBIC)"
58,Double the size of a photograph ,"def resize_image(image):
    
    
    width, height = image.size
    new_width = width * 2
    new_height = height * 2
    new_image = Image.new('RGB', (new_width, new_height))
    for x in range(new_width):
        for y in range(new_height):
            new_image.putpixel((x, y), image.getpixel((x // 2, y // 2)))
    return new_image"
59,Double the size of a photograph ,"def resize_image(image):
    width, height = image.size

    result = Image.new(image.mode, (width * 2, height * 2))

    for x in range(width):
        for y in range(height):
            pixel = image.getpixel((x, y))

            result.putpixel((x * 2, y * 2), pixel)
            result.putpixel((x * 2 + 1, y * 2), pixel)
            result.putpixel((x * 2, y * 2 + 1), pixel)
            result.putpixel((x * 2 + 1, y * 2 + 1), pixel)

    return result
  "
60,Double the size of a photograph ,"def resize_image(image):
    
    
    return image.resize((image.size[0] * 2, image.size[1] * 2))"
61,Double the size of a photograph ,"def resize_image(img):
        (h,w) = img.shape[:2]

        output = np.zeros((2*h,2*w), dtype = ""uint8"")

        for i in range(0,h):
                for j in range(0,w):
                        pixel = img[i,j]
                        output[2*i,2*j] = pixel
                        output[2*i+1,2*j] = pixel
                        output[2*i,2*j+1] = pixel
                        output[2*i+1,2*j+1] = pixel

        return output "
62,enlarge an image to twice its size ,"def resize_image(img):
    return cv2.resize(img, (2*img.shape[1], 2*img.shape[0]), interpolation=cv2.INTER_CUBIC)"
63,enlarge an image to twice its size ,"def resize_image(image):
    
    
    width, height = image.size
    new_width = width * 2
    new_height = height * 2
    new_image = Image.new('RGB', (new_width, new_height))
    for x in range(new_width):
        for y in range(new_height):
            new_image.putpixel((x, y), image.getpixel((x // 2, y // 2)))
    return new_image"
64,enlarge an image to twice its size ,"def resize_image(image):
    width, height = image.size

    result = Image.new(image.mode, (width * 2, height * 2))

    for x in range(width):
        for y in range(height):
            pixel = image.getpixel((x, y))

            result.putpixel((x * 2, y * 2), pixel)
            result.putpixel((x * 2 + 1, y * 2), pixel)
            result.putpixel((x * 2, y * 2 + 1), pixel)
            result.putpixel((x * 2 + 1, y * 2 + 1), pixel)

    return result
  "
65,enlarge an image to twice its size ,"def resize_image(image):
    
    
    return image.resize((image.size[0] * 2, image.size[1] * 2))"
66,enlarge an image to twice its size ,"def resize_image(img):
        (h,w) = img.shape[:2]

        output = np.zeros((2*h,2*w), dtype = ""uint8"")

        for i in range(0,h):
                for j in range(0,w):
                        pixel = img[i,j]
                        output[2*i,2*j] = pixel
                        output[2*i+1,2*j] = pixel
                        output[2*i,2*j+1] = pixel
                        output[2*i+1,2*j+1] = pixel

        return output "
67,enlarge a photograph to twice its size ,"def resize_image(img):
    return cv2.resize(img, (2*img.shape[1], 2*img.shape[0]), interpolation=cv2.INTER_CUBIC)"
68,enlarge a photograph to twice its size ,"def resize_image(image):
    
    
    width, height = image.size
    new_width = width * 2
    new_height = height * 2
    new_image = Image.new('RGB', (new_width, new_height))
    for x in range(new_width):
        for y in range(new_height):
            new_image.putpixel((x, y), image.getpixel((x // 2, y // 2)))
    return new_image"
69,enlarge a photograph to twice its size ,"def resize_image(image):
    width, height = image.size

    result = Image.new(image.mode, (width * 2, height * 2))

    for x in range(width):
        for y in range(height):
            pixel = image.getpixel((x, y))

            result.putpixel((x * 2, y * 2), pixel)
            result.putpixel((x * 2 + 1, y * 2), pixel)
            result.putpixel((x * 2, y * 2 + 1), pixel)
            result.putpixel((x * 2 + 1, y * 2 + 1), pixel)

    return result
  "
70,enlarge a photograph to twice its size ,"def resize_image(image):
    
    
    return image.resize((image.size[0] * 2, image.size[1] * 2))"
71,enlarge a photograph to twice its size ,"def resize_image(img):
        (h,w) = img.shape[:2]

        output = np.zeros((2*h,2*w), dtype = ""uint8"")

        for i in range(0,h):
                for j in range(0,w):
                        pixel = img[i,j]
                        output[2*i,2*j] = pixel
                        output[2*i+1,2*j] = pixel
                        output[2*i,2*j+1] = pixel
                        output[2*i+1,2*j+1] = pixel

        return output "
72,photo doubled ,"def resize_image(img):
    return cv2.resize(img, (2*img.shape[1], 2*img.shape[0]), interpolation=cv2.INTER_CUBIC)"
73,photo doubled ,"def resize_image(image):
    
    
    width, height = image.size
    new_width = width * 2
    new_height = height * 2
    new_image = Image.new('RGB', (new_width, new_height))
    for x in range(new_width):
        for y in range(new_height):
            new_image.putpixel((x, y), image.getpixel((x // 2, y // 2)))
    return new_image"
74,photo doubled ,"def resize_image(image):
    width, height = image.size

    result = Image.new(image.mode, (width * 2, height * 2))

    for x in range(width):
        for y in range(height):
            pixel = image.getpixel((x, y))

            result.putpixel((x * 2, y * 2), pixel)
            result.putpixel((x * 2 + 1, y * 2), pixel)
            result.putpixel((x * 2, y * 2 + 1), pixel)
            result.putpixel((x * 2 + 1, y * 2 + 1), pixel)

    return result
  "
75,photo doubled ,"def resize_image(image):
    
    
    return image.resize((image.size[0] * 2, image.size[1] * 2))"
76,photo doubled ,"def resize_image(img):
        (h,w) = img.shape[:2]

        output = np.zeros((2*h,2*w), dtype = ""uint8"")

        for i in range(0,h):
                for j in range(0,w):
                        pixel = img[i,j]
                        output[2*i,2*j] = pixel
                        output[2*i+1,2*j] = pixel
                        output[2*i,2*j+1] = pixel
                        output[2*i+1,2*j+1] = pixel

        return output "
77,resize an image to 4 times its shape,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
78,resize an image to 4 times its shape,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4), interpolation=cv2.INTER_CUBIC)"
79,resize an image to 4 times its shape,"def resize_image(image):
    
    
    rows, cols, channels = image.shape
    image = cv2.resize(image, (cols * 4, rows * 4))
    return image"
80,resize an image to 4 times its shape,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4))"
81,resize an image to 4 times its shape,"def resize_image(img, scale=4):
    
    
    h, w = img.shape[:2]
    output = np.zeros((h * scale, w * scale))

    for i in range(h * scale):
        for j in range(w * scale):
            i_, j_ = i / scale, j / scale
            i_1, j_1 = int(i_), int(j_)
            i_2, j_2 = i_1 + 1, j_1 + 1

            if i_2 >= h:
                i_2 = h - 1
            if j_2 >= w:
                j_2 = w - 1

            output[i, j] = img[i_1, j_1] * (i_2 - i_) * (j_2 - j_) + \
                           img[i_1, j_2] * (i_2 - i_) * (j_ - j_1) + \
                           img[i_2, j_1] * (i_ - i_1) * (j_2 - j_) + \
                           img[i_2, j_2] * (i_ - i_1) * (j_ - j_1)
    return output"
82,resize an image to 4 times its shape,"def resize_image(image):
    h = img.shape[0]
    w = img.shape[1]
    img_new = np.zeros((h*2, w*2, 3))
    new_h = img_new.shape[0]
    new_w = img_new.shape[1]
    for i in range(new_h):
        for j in range(new_w):
            x = int(i / 2)
            y = int(j / 2)
            if i % 2 == 0 and j % 2 == 0:
                img_new[i][j] = img[x][y]
            elif i % 2 == 0 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x][y+1]) / 2
            elif i % 2 == 1 and j % 2 == 0:
                img_new[i][j] = (img[x][y] + img[x+1][y]) / 2
            elif i % 2 == 1 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x+1][y] + img[x][y+1] + img[x+1][y+1]) / 4
    return img_new"
83,Four times the size of a picture ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
84,Four times the size of a picture ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
85,Four times the size of a picture ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4), interpolation=cv2.INTER_CUBIC)"
86,Four times the size of a picture ,"def resize_image(image):
    
    
    rows, cols, channels = image.shape
    image = cv2.resize(image, (cols * 4, rows * 4))
    return image"
87,Four times the size of a picture ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4))"
88,Four times the size of a picture ,"def resize_image(img, scale=4):
    
    
    h, w = img.shape[:2]
    output = np.zeros((h * scale, w * scale))

    for i in range(h * scale):
        for j in range(w * scale):
            i_, j_ = i / scale, j / scale
            i_1, j_1 = int(i_), int(j_)
            i_2, j_2 = i_1 + 1, j_1 + 1

            if i_2 >= h:
                i_2 = h - 1
            if j_2 >= w:
                j_2 = w - 1

            output[i, j] = img[i_1, j_1] * (i_2 - i_) * (j_2 - j_) + \
                           img[i_1, j_2] * (i_2 - i_) * (j_ - j_1) + \
                           img[i_2, j_1] * (i_ - i_1) * (j_2 - j_) + \
                           img[i_2, j_2] * (i_ - i_1) * (j_ - j_1)
    return output"
89,Four times the size of a picture ,"def resize_image(image):
    h = img.shape[0]
    w = img.shape[1]
    img_new = np.zeros((h*2, w*2, 3))
    new_h = img_new.shape[0]
    new_w = img_new.shape[1]
    for i in range(new_h):
        for j in range(new_w):
            x = int(i / 2)
            y = int(j / 2)
            if i % 2 == 0 and j % 2 == 0:
                img_new[i][j] = img[x][y]
            elif i % 2 == 0 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x][y+1]) / 2
            elif i % 2 == 1 and j % 2 == 0:
                img_new[i][j] = (img[x][y] + img[x+1][y]) / 2
            elif i % 2 == 1 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x+1][y] + img[x][y+1] + img[x+1][y+1]) / 4
    return img_new"
90,picture resizing to 4 times its original size ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
91,picture resizing to 4 times its original size ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
92,picture resizing to 4 times its original size ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4), interpolation=cv2.INTER_CUBIC)"
93,picture resizing to 4 times its original size ,"def resize_image(image):
    
    
    rows, cols, channels = image.shape
    image = cv2.resize(image, (cols * 4, rows * 4))
    return image"
94,picture resizing to 4 times its original size ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4))"
95,picture resizing to 4 times its original size ,"def resize_image(img, scale=4):
    
    
    h, w = img.shape[:2]
    output = np.zeros((h * scale, w * scale))

    for i in range(h * scale):
        for j in range(w * scale):
            i_, j_ = i / scale, j / scale
            i_1, j_1 = int(i_), int(j_)
            i_2, j_2 = i_1 + 1, j_1 + 1

            if i_2 >= h:
                i_2 = h - 1
            if j_2 >= w:
                j_2 = w - 1

            output[i, j] = img[i_1, j_1] * (i_2 - i_) * (j_2 - j_) + \
                           img[i_1, j_2] * (i_2 - i_) * (j_ - j_1) + \
                           img[i_2, j_1] * (i_ - i_1) * (j_2 - j_) + \
                           img[i_2, j_2] * (i_ - i_1) * (j_ - j_1)
    return output"
96,picture resizing to 4 times its original size ,"def resize_image(image):
    h = img.shape[0]
    w = img.shape[1]
    img_new = np.zeros((h*2, w*2, 3))
    new_h = img_new.shape[0]
    new_w = img_new.shape[1]
    for i in range(new_h):
        for j in range(new_w):
            x = int(i / 2)
            y = int(j / 2)
            if i % 2 == 0 and j % 2 == 0:
                img_new[i][j] = img[x][y]
            elif i % 2 == 0 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x][y+1]) / 2
            elif i % 2 == 1 and j % 2 == 0:
                img_new[i][j] = (img[x][y] + img[x+1][y]) / 2
            elif i % 2 == 1 and j % 2 == 1:
                img_new[i][j] = (img[x][y] + img[x+1][y] + img[x][y+1] + img[x+1][y+1]) / 4
    return img_new"
97,4 times the original picture size ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
98,4 times the original picture size ,"def resize_image(image):
    image = cv2.resize(image, (0,0), fx=4, fy=4)
    return image
"
99,4 times the original picture size ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4), interpolation=cv2.INTER_CUBIC)"
100,4 times the original picture size ,"def resize_image(image):
    
    
    rows, cols, channels = image.shape
    image = cv2.resize(image, (cols * 4, rows * 4))
    return image"
101,4 times the original picture size ,"def resize_image(img):
    return cv2.resize(img, (img.shape[1] * 4, img.shape[0] * 4))"
